Union ID,Union Name,Upazila ID
294,Marichbunia,33
295,Char Montaz,34
296,Chalitabunia ,34
297,Chhota Baisdia,34
298,Bara Baisdia,34
299,Rangabali,34
300,Angaria,35
301,Lebukhali,35
302,Muradia,35
303,Pangashia,35
304,Bhandaria,36
305,Bhitabaria,36
306,Dhaoa,36
307,Gauripur,36
308,Ishri,36
309,Nadmulla,36
310,Telikhali,36
311,Amrachuri,37
312,Chira Para Parsaturia,37
313,Kawkhali,37
314,Sayna Raghunathpur,37
315,Shialkathi,37
316,Amragachhia,38
317,Bara Machhua,38
318,Betmore Rajpara,38
319,Daudkhali,38
320,Dhanisapa,38
321,Gulishakhali,38
322,Mathbaria,38
323,Mirukhali,38
324,Sapleza,38
325,Tikikata,38
326,Tushkhali,38
327,Dirgha,39
328,Purba Deulbaridobra,39
329,Malikhali,39
330,Matibhanga,39
331,Nazirpur,39
332,Sekhmatia,39
333,Shankharikathi,39
334,Sreeramkathi,39
335,Durgapur,40
336,Kadamtola,40
337,Kalakhali,40
338,Shankarpasha,40
339,Sariktola,40
340,Sikdar Mollik,40
341,Toana,40
342,Atghar Kutiana,41
343,Baldia,41
344,Daihari,41
345,Guarekha,41
346,Jalabari,41
347,Samudaykati,41
348,Sarengkati,41
349,Sohagdal,41
350,Sutiakathi,41
351,Nesarabad (Swarupkathi),41
352,Bali Para,42
353,Parerhat,42
354,Pattashi,42
355,Alikadam,43
356,Chokhyong,43
357,Bandarban,44
358,Kuhalong,44
359,Rajvila,44
360,Sholaka,44
361,Tankabati,44
362,Aziznagar,45
363,Fasyakhali,45
364,Gajalia,45
365,Lama,45
366,Sarai,45
367,Rupashipara,45
368,Baishari,46
369,Dochhari,46
370,Ghumdhum,46
371,Naikhongchhari,46
372,Alikhong,47
373,Nowa Patang,47
374,Rowangchhari,47
375,Tarachha,47
376,Ghyalanga,48
377,Paindu,48
378,Remakri,48
379,Ruma,48
380,Bali Para,49
381,Remakri,49
382,Thanchi,49
383,Tindu,49
384,Dakshin Akhaura,50
385,Dharkhar,50
386,Maniand,50
387,Mogra,50
388,Uttar Akhaura,50
389,Dakshin Banchharampur,51
390,Dariadaulat,51
391,Pahariakandi,51
392,Paschim Saifullakandi,51
393,Paschim Rupasdi,51
394,Paschim Ujan Char,51
395,Dorikandi,51
396,Purba Rupasdi,51
397,Purba Ujan Char,51
398,Salimabad,51
399,Sonarampur,51
400,Tezkhali,51
401,Uttar Banchharampur,51
402,Basudeb,52
403,Budhanti,52
404,Chandura,52
405,Char Islampur,52
406,Dakshin Natai,52
407,Dakshin Shuhilpur,52
408,Dakshin Singerbil,52
409,Harashpur,52
410,Machhihata,52
411,Majlishpur,52
412,Paharpur,52
413,Pattan,52
414,Purba Talsahar,52
415,Ramrail,52
416,Sadekpur,52
417,Sultanpur,52
418,Uttar Ichhapur,52
419,Uttar Natai,52
420,Budhal,52
421,Bishnapur,52
422,Chompok Nagar,52
423,Badair,53
424,Bayek,53
425,Binauti,53
426,Gopinathpur,53
427,Kayempur,53
428,Kharera,53
429,Kuti,53
430,Mehari,53
431,Mulgram,53
432,Barikandi,54
433,Barail,54
434,Biddyakut,54
435,Birgaon,54
436,Ibrahimpur,54
437,Jinudpur,54
438,Kaitala,54
439,Krishnanagar,54
440,Laur Fatehpur,54
441,Natghar,54
442,Paschim Nabinagar,54
443,Purba Nabinagar,54
444,Rasullabad,54
445,Ratanpur,54
446,Salimganj,54
447,Satmura,54
448,Shibpur,54
449,Shyamgram,54
450,Sreerampur,54
451,Bolakot,55
452,Burishwar,55
453,Chapartala,55
454,Chatalpar,55
455,Dhar Mandal,55
456,Fandauk,55
457,Goalnagar,55
458,Gokarna,55
459,Guniauk,55
460,Haripur,55
461,Kunda,55
462,Nasirnagar,55
463,Purbabagh,55
464,Akrail,56
465,Chunta,56
466,Kalikachchha,56
467,Noagaon,56
468,Pakshimul,56
469,Sarail,56
470,Shahbazpur,56
471,Shahjadapur,56
472,Uttar Panishwar,56
473,Char Chartala,57
474,Araisidha,57
475,Talsahar Paschim,57
476,Sharifpur Purba,57
477,Ashugonj,57
478,Lalpur,57
479,Durgapur,57
480,Bhudanty,58
481,Chandura,58
482,Ichapura,58
483,Champaknagar,58
484,Harashpur,58
485,Pattan,58
486,Singerbil,58
487,Bishupor,58
488,Charislampur,58
489,Paharpur,58
490,Ashikati,59
491,Kalyanpur,59
492,Baghadi,59
493,Balia,59
494,Bishnupur,59
495,Chandra,59
496,Hanar Char,59
497,Ibrahimpur,59
498,Maishadi,59
499,Rajrajeshwar,59
500,Shah Mahmudpur,59
501,Rampur,59
502,Sakua,59
503,Tarpur Chandi,59
504,Purba Baluthuba,60
505,Paschim Baluthuba,60
506,Purba Char Dukhia,60
507,Paschim Char Dukhia,60
508,Uttar Faridganj,60
509,Dakshin Faridganj,60
510,Uttar Gobindapur,60
511,Dakshin Gobindapur,60
512,Purba Gupti,60
513,Paschim Gupti,60
514,Uttar Paikpara,60
515,Dakshin Paik Para,60
516,Uttar Rupsa,60
517,Dakshin Rupsa,60
518,Purba Subidpur,60
519,Paschim Subidpur,60
520,Uttar Algi Durgapur,61
521,Dakshin Algi Durgapur,61
522,Char Bhairabi,61
523,Haim Char,61
524,Gazipur,61
525,Nilkamal,61
526,Purba Barkur,62
527,Paschim Barkur,62
528,Uttar Gandharabpur,62
529,Dakshin Gandharbapur,62
530,Hajiganj,62
531,Hatila Paschim,62
532,Hatila Purba,62
533,Uttar Kalocho,62
